"any","Codi arxiu digital","duració","exposició","instal.lació","núm. inventari","observacions","préstec","productor","qualitat","Realització","so","status","suport","tipus","títol"
"2001",,"52 min. 20 seg.","INSIDEOUT: jardí del cambalache",,487,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/3","VHS","color","Fira d'intercanvi"
"2001",,"52 min. 20 seg.","INSIDEOUT: jardí del cambalache",,488,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","3/3","VHS","color","Fira d'intercanvi"
"2001","049_FV7_C016_NI489","120 min. aprox.","INSIDEOUT: jardí del cambalache",,489,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Fira d'intercanvi Mieres 9/11/97; Gran Angular - TVE Catalunya, Linea 900 - Neus Casals"
,,"60 min.","Matt Mullican",,380,"còpia per a exposició, donada per Serralves",,"Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","1/2","VHS","color","Five Into One"
,,"60 min.","Matt Mullican",,381,"còpia per a exposició, donada per Serralves",,"Fundação Serralves, Porto",,"Fundação Serralves, Porto","si","2/2","VHS","color","Five Into One"
"2000-2001","046_FV7_C016_NI513","60 min.","Matt Mullican. Més detalls d'un univers imaginari","Five into one",513,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Five into one"
"1998",,"50 min.","Arquitectures del discurs",,464,"video que formava part de la contribució de Virginia Villaplana. Són cintes propietat de la FAT, comprades, poden ser utilitzades.",,"Video Data Bank. The School · The Art Institute of Chicago",,"Sadie Benning","si","1/1","VHS PAL","color","Flat is Beautiful"
"1998",,"50 min.","Arquitectures del discurs",,522,,,"Video Data Bank (The School - The Art Institute of Chicago)",,"Sadie Benning","si","1/2","VHS","color","Flat is Beautiful"
"1998","051_FV7_C016_NI523","50 min.","Arquitectures del discurs",,523,,"Babuin, digitalització (gener 2011)","Video Data Bank (The School - The Art Institute of Chicago)",,"Sadie Benning","si","2/2","VHS","color","Flat is Beautiful"
,"061_FV7_C016_NI549","2h y 4min.","Indivisuals","Layover",549,"En la caja pone airport export per dentro hay otra copia de Foreground People.","Babuin, digitalització (gener 2011)",,"buena","David Hoffos","sonido","1/2","vhs","color","Foreground People"
,,"1h y 45 min.","Indivisuals","Layover",550,,,,"buena","David Hoffos","sonido","2/2","vhs","color","Foreground People"
"2003, Iraq Suïssa",,"01:51:00","Representacions àrabs contemporànies. L'equació iraquiana",,674,"Ubicació: despatx Miquel, arxiu RAC",,"Samir, Karin Koch, Gerd Haag",,"Samir","Anglès, subtítols en castellà",,"DVD
","Documental","Forget Baghdad"
,"051_FV7_C016_NI518","90 min.","Arquitectures del discurs",,518,"còpia utilitzada per a l'exposició","Babuin, digitalització (gener 2011)","Babuin",,"Fundació Antoni Tàpies","si","1/1","VHS","color","Fòrum de la Ribera del Besòs"
"1978, 1978, 1982, 1983","038_FV7_C016_NI265","122'","Merce Cunningham",,265,"és una còpia del màster","Babuin, digitalització (gener 2011)","Merce Cunningham Dance Foundation, Nova York",,,,"1/2","VHS",,"Fractions I
Merce by Merce by Paik
Channels/Inserts
Coast Zone"
"1978, 1978, 1982, 1983",,"122'","Merce Cunningham",,266,"és una còpia del màster",,"Merce Cunningham Dance Foundation, Nova York",,,,"2/2","VHS",,"Fractions I
Merce by Merce by Paik
Channels/Inserts
Coast Zone"
"1994","044_FV7_C016_NI379",,"Rainer Oldendorf","Free Cinema",379,,"Babuin, digitalització (gener 2011)","Llorenç Torrada",,"Llorenç Torrada","si","1/1","VHS PAL","color","Free Cinema / Riksbioscoop"
"1994, 1998, 1995-97, 1998-00","044_FV7_C017_NI395","14 min. aprox.","Rainer Oldendorf",,395,"extractes per a PREMSA","Babuin, digitalització (gener 2011)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","1/3","VHS","color","Free Cinema Riksbioscoop, Smoke Rings, Marco 1 a 5, Marco 6 a 9"
"1994, 1998, 1995-97, 1998-00","044_FV5_C017_NI396","14 min. aprox.","Rainer Oldendorf",,396,"extractes per a PREMSA","Babuin, digitalització (desembre 2010)
DIGITALITZAT febrer 2011","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/3","Betcam SP S","color","Free Cinema Riksbioscoop, Smoke Rings, Marco 1 a 5, Marco 6 a 9"
"1994, 1998, 1995-97, 1998-00",,"14 min. aprox.","Rainer Oldendorf",,397,"extractes per a PREMSA",,"Llorenç Torrades",,"Fundació Antoni Tàpies","si","3/3","Betcam SP S","color","Free Cinema Riksbioscoop, Smoke Rings, Marco 1 a 5, Marco 6 a 9"
,"044_FV7_C016_NI363","140 min.","Rainer Oldendorf","Free Cinema",363,"còpia per a exposició","Babuin, digitalització (gener 2011)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Free Cinema. Films 72-81"
,,"140 min.","Rainer Oldendorf","Free Cinema",364,"còpia per a exposició","CEDIT A LA BIBLIOTECA (16/1/2001)","Llorenç Torrades",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Free Cinema. Films 72-81"
"1995, maig.","022_FV9_C002_NI62",,"Els límits del Museu (15 març - 4 juny 1995)","activitat - conferència",62,,,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies",,"original 2","V.8mm.","color","Friedrich Kittler - Museen an der digitalen Grenze"
"1961",,"10 min","Tour-ismes. La derrota de la dissensió",,584,,,,"buena","Nestor Almendros","con sonido","1","dvd","blanco y negro","Gente en la playa"
"1990","054_FV7_C016_NI804","00:34:00","Representacions àrabs contemporànies. Beirut / Líban",,804,,"Babuin, digitalització (gener 2011)","Haneen Films",,"Mohammad Soueid","V.O. en àrab, subtítols en anglès",,"VHS, loop","color","Ghiyab (Absence)"
"2004
","068_FV7_C016_NI560","8 min y 50 sec.","Tour-ismes. La derrota de la dissensió",,560,"original (master) pasado a vhs
","Babuin, digitalització (gener 2011)",,,"Jorge Luis Marzo","con sonido","2/2","vhs","color","Grabación de Tour-ismos"
"2004",,"8 min y 50 sec.","Tour-ismes. La derrota de la dissensió",,592,,,,"buena","Jorge Luis Marzo","con sonido","1/2 master","mini dv","color","Grabación de Tour-ismos"
"1978",,"01:38:00 (98 min)","Amb i contra el cinema. Entorn del Maig del 68","Institut Francès de Barcelona",709,"14-19 de maig de 2008",,,,"William Klein","V.O. Subtitulada en castellà","1.1","DVD b/n","Documental. PAL, 4/3. Stereo","Grands soirs et petits matins."
"1989-1998","045_FV7_C016_NI337","51 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",337,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 01 A
Toutes les histoires"
"1989-1998","045_FV7_C016_NI338","42 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",338,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 01 B
Une histoire seule"
"1989-1998","045_FV7_C016_NI339","26 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",339,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 02 A
Seul le cinéma"
"1989-1998","045_FV7_C016_NI340","28 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",340,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 02 B
Fatale beauté"
"1989-1998","045_FV7_C016_NI341","26 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",341,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 03 A
La monnaie de l'absolu"
"1989-1998","045_FV7_C016_NI342","27 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",342,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 03 B
Une nouvelle vague"
"1989-1998","045_FV7_C016_NI343","27 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",343,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 04 A
Le contrôle de l'univers"
"1989-1998","045_FV7_C016_NI344","37 min. (total de totes les cintes: 4h 30min)","Cultures d'arxiu","Histoire(s) du cinéma de Jean-Luc Godard",344,"és un duplicat de les còpies que ells ens van deixar","Babuin, digitalització (gener 2011)",,,"Gaumont, Paris","si","1/1","VHS","color","Histoire(s) du cinéma nº 04 B
Les signes parmi nous"
"2002",,"50 min","Tour-ismes. La derrota de la dissensió",,572,,,,"Bueno","Randi Steinberger","sonido. V.O. inglés","1/2","dvd","color","Holi- days "
"2002",,"50 min","Tour-ismes. La derrota de la dissensió",,573,,,,"Buena","Randi Steinberger","sonido. V.O. con subtitulos en castellano","2/2","dvd","color","Holi- days "
,"010_FV7_C016_NI01","60 minuts. 3 sequències de 20 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Homeless Vehicle",1,,"28/5/01: Museu d'Art Contemporani de Barcelona
Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies","regular","Jaguda Przybylack, Janusz Bakowsky",,"original","VHS Pal","color","Homeless Vehicle Project. Pojazd dla Bezdomnych"
,,"60 minuts. 3 sequències de 20 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Homeless  Vehicle",2,,"CEDIT A LA BIBLIOTECA (16/1/2001)",,"regular","Jaguda Przybylack, Janusz Bakowsky",,"còpia 1","VHS Pal","color","Homeless Vehicle Project. Pojazd dla Bezdomnych"
,,"60 minuts. 3 sequències de 20 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Homeless Vehicle",3,,"Louisiana Museum 10.11.92",,"regular","Jaguda Przybylack, Janusz Bakowsky",,"còpia 2","VHS Pal","color","Homeless Vehicle Project. Pojazd dla Bezdomnych"
,,"60 minuts. 3 sequències de 20 min.","Krzysztof Wodiczko (4 juny - 6 setembre 1992)","Homeless  Vehicle",4,,,,"regular","Jaguda Przybylack, Janusz Bakowsky",,"còpia 3","VHS Pal","color","Homeless Vehicle Project. Pojazd dla Bezdomnych"
"1967",,"02:01:00 (fragment 00:02:27)","Tor-ismes. La derrota de la dissensió",,562,,,,"bona","Jag Är Nyfiken -Gul","V.O. en suec, subtítols en castellà i anglès","1","DVD","b/n","I am curious yellow"
"1967",,"02:01:00 (fragment 00:02:27)","Tor-ismes. La derrota de la dissensió",,775,,,,"bona","Jag Är Nyfiken -Gul","V.O. en suec, subtítols en castellà i anglès",,"DVD","b/n","I am curious yellow"
"2002",,"00:08:00","Tour-ismes. La derrota de la dissensió",,563,,,,"buena","Eduardo Díaz","con sonido","1/2","dvd","color","I can't get no satisfaction"
"2002; 2003",,"1. 00:08:00
2. 00:03:54","Tour-ismes. La derrota de la dissensió",,776,"1. Text original en anglès, subtítols en castellà
2. V.O. en castellà",,,"Bona, còpia","Eduardo Díaz, Angelika Levi","Sí",,"DVD","Color","I can't get no satisfaction, 2002 
Hay que gastar dinero, 2003"
"2001",,"1 h 3 min.","INSIDEOUT: jardí del cambalache",,499,,,"Fundació Antoni Tàpies","dolenta","Fundació Antoni Tàpies","si","1/2","VHS","color","imatges preses durant l'exposició"
"1973- 74",,"00:08:14","Anna Maria Maiolino",,819,,,"Anna Maria Maiolino","bona","Anna Maria Maiolino","sí",,"DVD Loop","color","In-Out "
"Infrastructure (2002); Surface Tension (1994-1995)
",,"Infrastructure 14 min. ; Surface Tension 10 min.","Tour-ismes. La derrota de la dissensió",,570,,"NE 4/10/2006",,"Buena","Rachel Reupke, Nick Stewart","sonido","1","dvd","blanco y negro","Infrastructure (Rachel Reupke); Surface Tension (Nick Stewart)"
"1976",,"6 min 30 s","Sanja Iveković. Alerta general. Obres 1974-2007",,638,,,,,"Sanja Iveković","no",,"DVD, video, no sound, b/w, autoplay, looped",,"Instrukcije br. 1 (Instructions No. 1)"
,"047_FV7_C016_NI407","18 min.","Eulàlia Valldosera. Obres 1990-2000","Interviewing Objects",407,"VERSIÓ SUBTITULADA. Còpia sense utilitzar. La còpia usada se li va donar a l'Eulàlia Valldosera","Babuin, digitalització (gener 2011)","Babuin","bona","Babuin","si","1/1","VHS","color","Interviewing Objects"
"2005",,"00:04:50","Representacions àrabs contemporànies. L'equació iraquiana",,681,"Passe de fotografies.
ubicació: ubicació: despatx de Miquel, arxiu RAC",,"Arab Image Foundetion, Beirut 2005","bona","Latif Al-Ani","no",,"DVD","Passe de fotografies","Iraq 1960 - 1969"
"2005",,"DVD, color, so, 9 min
V.O. sub. en castellà","Registres i Hàbits. Màquina de temps / imatges d´espai",,629,,,,,"Jeanne Faust",,,"DVD",,"IV"
"2005",,"DVD, color, so, 9 min; V.O. sub. en castellà","Registres i Hàbits. Màquina de temps / imatges d´espai",,630,,,,,"Jeanne Faust",,,"DVD",,"IV"
"1957-1969
",,,"Entusiasme","Archive Lounge. Part 1",618,,,"Neil Cummings y Marysia Lewandowska","buena","ver campo titulo.","con sonido","1","dvd","color y blanco y negro","J & D Mackow ""regi poloniae"" 1957; R. Berr, J korcelli, Bielsko B iala ""wojciech Siemion and 140 rascals"" 1965; J. Jeruzal, Biesko Biala ""stranger"" 1967; Colletive work, Biesko Biala "" The visit of Valentina tiereszkowa"" 1968; L. Wojtala ""markowa and her word"" 1962; J. Ridan, N. Huta ""M-3"" 1969; R. kreyeser "" Pegasus"" 1963; R. Kreyeser ""jubiler"" 1964."
"1960; 1968; 1982; 1963; 1977; 1976; 1979; 1981
",,,"Entusiasme","archive lounge. Part 4",621,,,"Neil Cummings y Marysia Lewandowska","buena","ver capo titulo","con sonido","1","dvd","color y blanco-negro","J Chimielewski, L. Wotjala ""Rockefellers"" 1960s; J. Oblamski, A. Stefanski ""Both are very old"" 1968; H. Lehnert ""Work and leisure"" 1982; R. Wowrynowicz, J. Jaskolski ""Toy soldiers"" 1963; Z. Walczakowski ""A rescued landscape"" 1977; M.Suchecki ""A day without a name"" 1976; W. Szewczyk ""Journey"" 1979; L. Boguszewski ""Blocade"" 1981. "
"1989?","024_FV7_C016_NI493","31 min.","Jana Sterbak",,493,,,,"bona",,"V.O. anglès, sense subtítols","1/1","VHS","color","Jana Sterbak fent proves amb l'obra Comandament a distància I i II.
Remote Control
"
"1995, març.",,"4 min.","Els límits del Museu (15 març - 4 juny 1995)","Loving Care",55,,,"Fundació Antoni Tàpies",,"Serveis Audiovisuals Interactius",,"còpia","VHS PAL","color","Janine Antoni – Loving Care"
"1995, març.",,,"Els límits del Museu (15 març - 4 juny 1995)","Loving Care",53,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Fundació Antoni Tàpies",,"Serveis Audiovisuals Interactius",,"còpia","VHS PAL","color","Janine Antoni - Loving Care"
"1994",,,"Els límits del Museu (15 març - 4 juny 1995)","Loving Care",54,,,"De Appel Museum, Amsterdam.",,"De Appel Museum, Amsterdam.",,"còpia","VHS PAL ","color","Janine Antoni - Loving Care"
"1995, 12 gener.","021_FV7_C016_NI32","--","En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995)","activitat - acció",32,,"Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"còpies fetes per Estudi Fornell","--","còpia","VHS PAL","color","Jean-Jacques Lebel - El treball de la mirada"
"1995, 12 gener.",,,"En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995)","activitat - acció",809,,,"Fundació Antoni Tàpies",,,,,"V. 8 mm","color","Jean-Jacques Lebel - El treball de la mirada"
"1995, 17 gener.","021_FV7_C016_NI34","--","En l'esperit de Fluxus (25 novembre 1994 - 29 gener 1995 )","activitat - concert",34,,"Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"còpies fetes per Estudi Fornell","--","còpia","VHS PAL","color","Jean-Pierre Dupuy - Music of changes i Études australes"
"1995",,"6'30''","Els límits del Museu (15 març - 4 juny 1995)","L'Artista i la Fotografia",43,,,"Videostudi s.c.p., Granollers i Univ. Pompeu Fabra, Bcn.",,"Joan Fontcuberta",,"original","BETACAM PAL","color","Joan Fontcuberta - L'Artista i la Fotografia"
"1995",,,"Els límits del Museu (15 març - 4 juny 1995)","L'Artista i la Fotografia",44,,"CEDIT A LA BIBLIOTECA (16/1/2001)","Videostudi s.c.p., Granollers i Univ. Pompeu Fabra, Bcn.",,"Joan Fontcuberta",,"còpia","VHS PAL","color","Joan Fontcuberta - L'Artista i la Fotografia"
"1995, 12 gener.","021_FV7_C016_NI30","--","En l'esperit de Fluxus (25 novembre 1994  - 29 gener 1995)","activitat - concert",30,,"Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"còpies fetes per Estudi Fornell","--","còpia","VHS PAL","color","Juan Hidalgo -  Concierto ZAJ"
"2001","049_FV7_C016_NI471","120 min.","INSIDEOUT: jardí del cambalache",,471,"còpia utilitzada durant la exposició","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","1/2","VHS","color","Juicio; La patente de las judías; Pagès de capçalera; El arcano de la quina; Paradís domèstic; Banc genètic popular"
"2001",,"120 min.","INSIDEOUT: jardí del cambalache",,472,"còpia utilitzada durant la exposició",,"Fundació Antoni Tàpies",,"Fundació Antoni Tàpies","si","2/2","VHS","color","Juicio; La patente de las judías; Pagès de capçalera; El arcano de la quina; Paradís domèstic; Banc genètic popular"
"1995, maig.","022_FV7_C016_NI56",,"Els límits del Museu (15 març - 4 juny 1995)","The Institutional State",56,"Gravacions de la instalació, sala d'abaix i despatx Manolo.","Babuin, digitalització (gener 2011)","Fundació Antoni Tàpies",,"Julia Scher",,"original","VHS PAL","blanc i negre","Julia Scher - The Institutional State"
"1995, maig.",,,"Els límits del Museu (15 març - 4 juny 1995)","The Institutional State.",57,"Gravacions instalació, sala d'abaix i despatx Manolo",,"Fundació Antoni Tàpies",,"Julia Scher",,"original","VHS PAL ","blanc i negre","Julia Scher - The Institutional State"
"1995, maig.",,,"Els límits del Museu","The Institutional State",58,"Gravacions instalació, sala d'abaix i despatx Manolo",,"Fundació Antoni Tàpies",,"Julia Scher",,"original","VHS PAL","blanc i negre","Julia Scher - The Institutional State"
"1995, abril.",,,"Els límits del Museu (15 març - 4 juny 1995)","The Institutional State",59,"Gravacions instalació, sala d'abaix i despatx Manolo",,"Fundació Antoni Tàpies",,"Julia Scher",," original","VHS PAL ","blanc i negre","Julia Scher - The Institutional State"
"1981","037_FV7_C016_NI182","6 min","Chris Marker","auditori (cicle de cinema)",182,"Còpia obtinguda pel cicle de cinema i s'ha quedat pels arxius de la FAT.","Babuin, digitalització (gener 2011)","ARGOS (distribuidora)",,"Chris Marker","bo","còpia 1/1","VHS","color","Junkopia (San Francisco)"
